Name,Description,Example values
:any:`number_entity <besser.agent.library.entity.base_entities.number_entity>`, "Matches a number", "``3``, ``3.5``, ``-3.5``, ``minus three``"
:any:`datetime_entity <besser.agent.library.entity.base_entities.datetime_entity>`, "Matches a date, a time or a date-time", "``2023-09-14``, ``08:30:00``, ``1985‑09‑25 17:45:30``, ``today``, ``tomorrow at 5pm``, ``in five years and 2 weeks``, ``3 months ago``"
